Entity,Code,Year,Meningitis (deaths),Lower respiratory infections (deaths),Protein-energy malnutrition (deaths),Terrorism ,Cardiovascular,Dementia (deaths),Kidney disease (deaths),Respiratory diseases (deaths),Liver diseases (deaths),Digestive diseases (deaths),Hepatitis (deaths),Cancers,Parkinson disease (deaths),Fire (deaths),Malaria (deaths),Drowning (deaths),Homicide (deaths),HIV/AIDS (deaths),Drug use disorders (deaths),Tuberculosis (deaths),Road injuries (deaths),Maternal disorders (deaths),Neonatal disorders (deaths),Alcohol use disorders (deaths),Natural disasters (deaths),Diarrheal diseases (deaths),Heat (hot and cold exposure) (deaths),Nutritional deficiencies (deaths),Suicide (deaths),Conflict (deaths),Diabetes (deaths),Poisonings (deaths)
Canada,CAN,2018,111.231096,9047.951619,269.4734463,6,80838,25219.45091,6087.33071,16133.43494,4844.516847,11283.27031,95.9754729,86229,3861.861589,514.8427653,0,325.3540626,544.3868471,273.752983,2076.305759,134.3472519,2740.57603,30.79653863,965.6683155,1263.111349,4,1508.433077,137.7323812,338.1520173,4616.260472,0,6959.383655,141.1558747
Cape Verde,CPV,2018,16.15175246,233.6236915,5.951362219,,832,164.5884372,64.89220054,93.0058982,86.0580328,135.5762608,5.4974705,539,19.15605673,6.532176369,2.027418529,26.71958321,69.73955888,124.7787925,17.43717207,71.67952011,42.80761688,4.944161561,122.8037555,8.880867331,0,31.75700878,6.965775778,6.818821919,87.10508561,0,83.17033763,3.54007144
Central African Republic,CAF,2018,1029.202659,5021.424595,1349.411794,601,7278,278.0342566,654.8642431,1323.364141,698.6788566,1639.399059,113.1541588,2695,48.37370723,177.2502473,3849.225757,495.31821,355.7706214,5319.447328,39.84263141,6728.094154,3494.799636,770.3902749,4770.036229,65.08009236,0,5983.077063,45.63158251,1382.056315,517.9293069,1879.005967,960.3954052,75.34626488
Chad,TCD,2018,4231.756757,19421.1496,4212.768679,62,13094,1174.427611,1568.085146,2538.47152,2040.320877,4210.891525,369.3320538,6620,209.6193098,549.41413,7679.412521,979.7375077,876.3737806,4925.931019,87.33804419,6648.937084,2602.243826,2745.376482,17167.21151,110.4018413,0,24902.7969,204.7194517,4335.826351,791.2539549,296.9999732,1441.116355,200.3046712
Chile,CHL,2018,128.3430637,4588.013154,416.4758566,0,29906,8340.453342,4225.064882,6140.571288,4980.294946,7955.38881,32.64600129,30116,1271.625612,361.5759245,0,401.8874941,799.1509275,504.5455387,129.4299763,463.886482,2280.88492,55.74396416,715.6573933,671.3912332,28,398.3143115,48.53345473,443.7984756,2061.401084,0,3331.470455,58.76097924
China,CHN,2018,7416.024641,179389.9027,8066.488837,16,4377972,490209.6446,175890.7274,1009685.293,153769.4617,283661.601,9518.787581,2606907,74201.69524,10835.5213,104.8561959,63780.6594,14535.57654,34799.67076,22445.15813,39278.21422,261802.2814,2240.511022,54061.3423,21011.76591,574.9999998,6531.666277,4882.66597,10682.76808,128586.3134,0,153184.5453,27125.26287
Colombia,COL,2018,496.3442414,7850.556622,1114.920584,84,68023,15050.08712,8501.60881,15303.40668,3886.208117,10846.83526,64.55093973,46576,1812.861048,216.611126,37.46162567,1152.082462,15053.29734,2636.558772,237.1595794,945.6391692,7437.415649,427.1816161,4914.848752,120.1938175,350.0000031,862.7768418,17.6914632,1153.113293,2915.318955,0,6154.763761,91.62388833
Comoros,COM,2018,69.33248422,383.6670929,50.82940068,,982,107.7985613,104.3317247,143.9748817,87.69424721,234.6800982,11.00308697,565,14.79348128,19.40340272,1.044960565,18.41355821,54.74717256,1.62826982,3.603531481,305.4467729,112.9672906,30.94688901,286.4912723,8.266075888,0,272.1083767,2.728349339,53.29238843,43.55970566,0,150.8524158,8.464383891
Congo,COG,2018,411.5512392,2308.00894,328.4673312,,6527,488.3665381,670.7770916,1080.880084,1014.046688,1614.80019,57.60440358,3275,75.91157084,114.7775609,2244.00494,247.0761983,253.0316232,5571.169977,70.76420302,2278.639768,1228.549659,521.5726733,1716.984465,72.19756115,0,2107.445886,27.51782254,341.5341415,462.6139786,24.99999949,1033.992577,45.67764618
Costa Rica,CRI,2018,39.2801322,521.0686223,16.80499396,,6852,1457.822971,1265.15438,1331.204239,840.3972265,1545.832506,23.62943747,5717,210.9395161,42.11335352,0,152.2119054,484.159014,153.2197421,49.22386674,57.78932984,782.322624,19.77902461,259.9833669,114.1669972,19.00000006,103.3094458,3.805398079,18.80359345,395.4473702,0,408.1137461,14.15006778
